CPU Utilization: 3%
Cores used: 1
Cores available: 31
+============================================================+
Running processes:
Process_1314    (06/28/2025 11:09:51AM)    Core: 20    38/100

Finished processes:
Process_1002    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1010    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1001    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1006    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1005    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1014    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1004    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1017    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1008    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1025    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1011    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1019    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1027    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1007    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1018    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1021    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1028    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1031    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1013    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1020    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1012    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1015    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1024    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1003    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1009    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1026    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1016    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1022    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1029    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1032    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1023    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1035    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1030    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1033    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1034    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1000    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1036    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1038    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1037    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1040    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1042    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1039    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1041    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1043    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1044    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1046    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1045    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1047    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1048    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1050    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1049    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1051    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1052    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1054    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1053    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1057    (06/28/2025 11:09:43AM)    Finished    100/100
